TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                     
AdesaoLojasPgtos                                                                                                                 SituacaoPGto                                                                                                                    
AdesaoLojasPgtos                                                                                                                 TipoPgto                                                                                                                        
AdesaoLojasPgtos                                                                                                                 ValorLiqPgto                                                                                                                    
AdesaoLojasPgtos                                                                                                                 ValorTotPgto                                                                                                                    
AgenciaAcao                                                                                                                      campanhas                                                                                                                       
AgenciaAcao                                                                                                                      CodAcao                                                                                                                         
AgenciaAcao                                                                                                                      cupons                                                                                                                          
AgenciaAcao                                                                                                                      DataFeito                                                                                                                       
AgenciaAcao                                                                                                                      DataLanc                                                                                                                        
AgenciaAcao                                                                                                                      DescricaoLanc                                                                                                                   
AgenciaAcao                                                                                                                      diasSemana                                                                                                                      
AgenciaAcao                                                                                                                      Feito                                                                                                                           
AgenciaAcao                                                                                                                      idAcao                                                                                                                          
AgenciaAcao                                                                                                                      idLanc                                                                                                                          
AgenciaAcao                                                                                                                      idLocal                                                                                                                         
AgenciaAcao                                                                                                                      idUsuario                                                                                                                       
AgenciaAcao                                                                                                                      mesesAno                                                                                                                        
AgenciaAcao                                                                                                                      RespInternoLanc                                                                                                                 
AgenciaAcaoTkt                                                                                                                   cb1                                                                                                                             
AgenciaAcaoTkt                                                                                                                   cb2                                                                                                                             
AgenciaAcaoTkt                                                                                                                   cb3                                                                                                                             
AgenciaAcaoTkt                                                                                                                   cb4                                                                                                                             
AgenciaAcaoTkt                                                                                                                   cvs1                                                                                                                            
AgenciaAcaoTkt                                                                                                                   cvtxs                                                                                                                           
AgenciaAcaoTkt                                                                                                                   cvtxsLocal                                                                                                                      
AgenciaAcaoTkt                                                                                                                   DataLanc                                                                                                                        
AgenciaAcaoTkt                                                                                                                   diasSem                                                                                                                         
AgenciaAcaoTkt                                                                                                                   idAATkt                                                                                                                         
AgenciaAcaoTkt                                                                                                                   idCb1                                                                                                                           
AgenciaAcaoTkt                                                                                                                   idCb2                                                                                                                           
